Collector's No,Collector(s),Tissue ID,DNA Sample ID,Order,Family,Genus,Anmerkungen,GBOL ID
PC 184,P. Ciongwa,B GT 0017461,DB 14731,Lamiales,Lamiaceae,Ballota nigra,,
35916,"Buttler,K.P.",B GT 0018134,DB 14032,Lamiales,Lamiaceae,Ballota nigra,,
WEM098,W. Melenk (GBOL-Bioblitz 2017),B GT 0021941,DB 31004,Lamiales,Lamiaceae,Ballota nigra,,
8603,"Hand,R.",B GT 0018927,DB 13762,Lamiales,Lamiaceae,Betonica alopecuros,,
35809,"Buttler,K.P.",B GT 0018179,DB 13992,Lamiales,Lamiaceae,Betonica officinalis,,
8649,"Hand,R.",B GT 0018972,DB 13783,Lamiales,Lamiaceae,Calamintha foliosa,,
8535,"Hand,R.",B GT 0018859,DB 13718,Lamiales,Lamiaceae,Calamintha menthifolia,,
8807,"Hand,R.",B GT 0021139,DB 13871,Lamiales,Lamiaceae,Calamintha menthifolia,,
2017-127,R. Mause,B GT 0021742,DB 30896,Lamiales,Lamiaceae,Calamintha menthifolia,,
36633,"Buttler,K.P.",B GT 0017792,DB 14166,Lamiales,Lamiaceae,Clinopodium vulgare,,
35863,"Buttler,K.P.",B GT 0018192,DB 14015,Lamiales,Lamiaceae,Clinopodium vulgare,,
36682,"Buttler,K.P.",B GT 0018442,DB 14191,Lamiales,Lamiaceae,Cymbalaria muralis,,
2365,"Appel,O.",B GT 0017217,DB 13398,Lamiales,Lamiaceae,Galeobdolon argentatum,,
FJW-2016-0017,"Weicherding,F.-J.",B GT 0017784,DB 13207,Lamiales,Lamiaceae,Galeobdolon argentatum,,
8082,"Hand,R.",B GT 0017920,DB 13129,Lamiales,Lamiaceae,Galeobdolon argentatum,,
36423,K. P. Buttler,B GT 0018621,DB 14882,Lamiales,Lamiaceae,Galeobdolon argentatum,,
2382,O. Appel,B GT 0017207,DB 14597,Lamiales,Lamiaceae,Galeobdolon luteum,,
2383,O. Appel,B GT 0017208,DB 14598,Lamiales,Lamiaceae,Galeobdolon luteum,,
36470,K. P. Buttler,B GT 0018573,DB 14884,Lamiales,Lamiaceae,Galeobdolon luteum,,
36353,K. P. Buttler,B GT 0018613,DB 14880,Lamiales,Lamiaceae,Galeobdolon luteum,,
2681,O. Appel,B GT 0024138,DB 15837,Lamiales,Lamiaceae,Galeobdolon luteum,,
PC 131,"Ciongwa,P.",B GT 0017428,DB 13148,Lamiales,Lamiaceae,Galeobdolon montanum,,
FJW-2016-0022,"Weicherding,F.-J.",B GT 0017877,DB 13212,Lamiales,Lamiaceae,Galeobdolon montanum,,
36424,K. P. Buttler,B GT 0018592,DB 14883,Lamiales,Lamiaceae,Galeobdolon montanum,,
8731,"Hand,R.",B GT 0021063,DB 13829,Lamiales,Lamiaceae,Galeopsis angustifolia,,
2017-126,R. Mause,B GT 0021743,DB 30895,Lamiales,Lamiaceae,Galeopsis angustifolia,,
2017-125,R. Mause,B GT 0021744,DB 15194,Lamiales,Lamiaceae,Galeopsis angustifolia,,
GBOL-026,G. Himpel,B GT 0024469,DB 15575,Lamiales,Lamiaceae,Galeopsis ladanum,,
2540,O. Appel,B GT 0018104,DB 14630,Lamiales,Lamiaceae,Galeopsis pubescens,,
8851,"Hand,R.",B GT 0021183,DB 13900,Lamiales,Lamiaceae,Galeopsis pubescens,,
8554,"Hand,R.",B GT 0018878,DB 13733,Lamiales,Lamiaceae,Galeopsis segetum,,
8820,"Hand,R.",B GT 0021152,DB 13880,Lamiales,Lamiaceae,Galeopsis segetum,,
FJW-2017-0042,F.-J. Weicherding,B GT 0021682,DB 30780,Lamiales,Lamiaceae,Galeopsis segetum,,
2017-91,R. Mause,B GT 0021749,DB 15190,Lamiales,Lamiaceae,Galeopsis segetum,,
2017-90,R. Mause,B GT 0021750,DB 30865,Lamiales,Lamiaceae,Galeopsis segetum,,
36913,K. P. Buttler,B GT 0024916,DB 14799,Lamiales,Lamiaceae,Galeopsis segetum,,
PC 194,"Ciongwa,P.",B GT 0017437,DB 14548,Lamiales,Lamiaceae,Galeopsis speciosa,,
2541,O. Appel,B GT 0018106,DB 14631,Lamiales,Lamiaceae,Galeopsis speciosa,,
KPB 36747,"Buttler,K.P. & Gutte,P.",B GT 0018475,DB 14203,Lamiales,Lamiaceae,Galeopsis speciosa,,
8655,"Hand,R.",B GT 0018978,DB 13786,Lamiales,Lamiaceae,Galeopsis speciosa,,
2571,O. Appel,B GT 0018015,DB 14632,Lamiales,Lamiaceae,Galeopsis tetrahit,,
36727,K. P. Buttler,B GT 0018485,DB 29461,Lamiales,Lamiaceae,Galeopsis tetrahit,,
AMB-GBOL2-50,"Barniske,A.-M.",B GT 0017643,DB 13335,Lamiales,Lamiaceae,Glechoma hederacea,,
2355,"Appel,O.",B GT 0018011,DB 13390,Lamiales,Lamiaceae,Glechoma hederacea,,
36428,"Buttler,K.P.",B GT 0018626,DB 14090,Lamiales,Lamiaceae,Glechoma hederacea,,
PC 289,"Ciongwa,P.",B GT 0021434,DB 14417,Lamiales,Lamiaceae,Hyssopus officinalis,,
NHG-20170928-95,"Höcker,R.",B GT 0021548,DB 14509,Lamiales,Lamiaceae,Hyssopus officinalis,,
MS-SH-5,"Schön,M.",B GT 0017270,DB 13276,Lamiales,Lamiaceae,Lamium album,,
2379,"Appel,O.",B GT 0017494,DB 13405,Lamiales,Lamiaceae,Lamium album,,
AMB-GBOL2-48,"Barniske,A.-M.",B GT 0017641,DB 13333,Lamiales,Lamiaceae,Lamium album,,
2416,"Appel,O.",B GT 0017710,DB 13426,Lamiales,Lamiaceae,Lamium album,,
36595,"Buttler,K.P.",B GT 0017767,DB 14151,Lamiales,Lamiaceae,Lamium album,,
PC 124,"Ciongwa,P.",B GT 0017422,DB 14546,Lamiales,Lamiaceae,Lamium amplexicaule,,
2017-31,R. Mause,B GT 0021802,DB 30822,Lamiales,Lamiaceae,Lamium amplexicaule,,
20170531-52,"Höcker,R.",G BT 0021465,DB 14296,Lamiales,Lamiaceae,Lamium amplexicaule,,
PC 109,"Ciongwa,P.",B GT 0017399,DB 13138,Lamiales,Lamiaceae,Lamium maculatum,,
2361,"Appel,O.",B GT 0018008,DB 13395,Lamiales,Lamiaceae,Lamium maculatum,,
36356,"Buttler,K.P.",B GT 0018615,DB 14073,Lamiales,Lamiaceae,Lamium maculatum,,
7616,R. Hand,B GT 0017018,DB 15442,Lamiales,Lamiaceae,Lamium purpureum,,
2335,O. Appel,B GT 0017234,DB 14587,Lamiales,Lamiaceae,Lamium purpureum,,
36172,"Buttler,K.P.",B GT 0018417,DB 14038,Lamiales,Lamiaceae,Lamium purpureum,,
PC 205,"Ciongwa,P.",B GT 0021419,DB 14352,Lamiales,Lamiaceae,Lamium purpureum,,
2017-30,R. Mause,B GT 0021801,DB 30821,Lamiales,Lamiaceae,Lamium purpureum,,
2017-11,R. Mause,B GT 0021832,DB 30811,Lamiales,Lamiaceae,Lamium purpureum,,
AMB-GBOL2-104,A.-M. Barniske,B GT 0021860,DB 30918,Lamiales,Lamiaceae,Lamium purpureum,,
PC 189,"Ciongwa,P.",B GT 0017432,DB 13190,Lamiales,Lamiaceae,Leonurus cardiaca,,
KPB 36762,"Buttler,K.P. & Bär,K.",B GT 0018424,DB 14206,Lamiales,Lamiaceae,Leonurus cardiaca,,
20180920,G. Schepers,B GT 0024541,DB 15348,Lamiales,Lamiaceae,Leonurus cardiaca,,
2469,"Appel,O.",B GT 0018090,DB 13460,Lamiales,Lamiaceae,Lycopus europaeus,,
35858,"Buttler,K.P.",B GT 0018194,DB 14011,Lamiales,Lamiaceae,Lycopus europaeus,,
36692,K. P. Buttler,B GT 0018448,DB 29446,Lamiales,Lamiaceae,Lycopus europaeus,,
8035,"Hand,R.",B GT 0017815,DB 13089,Lamiales,Lamiaceae,Marrubium peregrinum,,
8045,"Hand,R.",B GT 0017825,DB 13098,Lamiales,Lamiaceae,Marrubium vulgare,,
RH 8343,"Hand,R. & GEFD-Exkursion",B GT 0018666,DB 13608,Lamiales,Lamiaceae,Marrubium vulgare,,
KPB 36695,"Buttler,K.P. & Diguet,A.",B GT 0018449,DB 14195,Lamiales,Lamiaceae,Melissa officinalis,,
8516,"Hand,R.",B GT 0018840,DB 13706,Lamiales,Lamiaceae,Melissa officinalis,,
8834,"Hand,R.",B GT 0021166,DB 13888,Lamiales,Lamiaceae,Melittis melissophyllum,,
9054,R. Hand,B GT 0024856,DB 15034,Lamiales,Lamiaceae,Melittis melissophyllum,,
7729,R. Hand 7729 & C. Niederbichler,B GT 0014960,DB 15449,Lamiales,Lamiaceae,Mentha aquatica,,
2498,O. Appel,B GT 0018101,DB 14623,Lamiales,Lamiaceae,Mentha aquatica,,
35869,"Buttler,K.P.",B GT 0018122,DB 14017,Lamiales,Lamiaceae,Mentha aquatica,,
35806,"Buttler,K.P.",B GT 0018147,DB 13989,Lamiales,Lamiaceae,Mentha arvensis,,
8847,"Hand,R.",B GT 0021179,DB 13897,Lamiales,Lamiaceae,Mentha arvensis,,
9167,"R. Hand 9167, R. Fritsch, S. Caspari & al.",B GT 0024762,DB 15138,Lamiales,Lamiaceae,Mentha arvensis,,
7683,R. Hand,B GT 0014914,DB 14669,Lamiales,Lamiaceae,Mentha longifolia,,
PC 198,P. Ciongwa,B GT 0017441,DB 14937,Lamiales,Lamiaceae,Mentha longifolia,,
36691,K. P. Buttler,B GT 0018446,DB 14921,Lamiales,Lamiaceae,Mentha longifolia,,
8691,R. Hand,B GT 0021023,DB 29350,Lamiales,Lamiaceae,Mentha longifolia,,
2509,O. Appel,B GT 0017259,DB 15410,Lamiales,Lamiaceae,Mentha piperita,,
8029,R. Hand,B GT 0017809,DB 15456,Lamiales,Lamiaceae,Mentha spicata,,
8526,R. Hand,B GT 0018850,DB 29326,Lamiales,Lamiaceae,Mentha spicata,,
8529,R. Hand,B GT 0018853,DB 29327,Lamiales,Lamiaceae,Mentha suaveolens,,
8539,R. Hand,B GT 0018863,DB 14841,Lamiales,Lamiaceae,Mentha villosa,,
8830,"Hand,R.",B GT 0021162,DB 13885,Lamiales,Lamiaceae,Nepeta cataria,,
FJW-2017-0056,F.-J. Weicherding,B GT 0021647,DB 30793,Lamiales,Lamiaceae,Nepeta cataria,,
DH-NECA18-1,D. Hanselmann,B GT 0024246,DB 15802,Lamiales,Lamiaceae,Nepeta cataria,,
DH-NECA18-2,D. Hanselmann,B GT 0024270,DB 15804,Lamiales,Lamiaceae,Nepeta cataria,,
,,B GT 0024734,DB 15006,Lamiales,Lamiaceae,Nepeta cataria,,
9187,R. Hand,B GT 0024784,DB 15154,Lamiales,Lamiaceae,Nepeta grandiflora,,
8593,R. Hand 8593 & H. Seitz,B GT 0018917,DB 15476,Lamiales,Lamiaceae,Nepeta nuda,,
36632,K. P. Buttler,B GT 0017788,DB 29438,Lamiales,Lamiaceae,Origanum vulgare,,
2520,"Appel,O.",B GT 0018036,DB 13482,Lamiales,Lamiaceae,Origanum vulgare,,
8542,"Hand,R.",B GT 0018866,DB 13724,Lamiales,Lamiaceae,Origanum vulgare,,
PC 270,"Ciongwa,P.",B GT 0021355,DB 14405,Lamiales,Lamiaceae,Origanum vulgare,,
KPB 35737,"Buttler,K.P. & Diguet,A.",B GT 0018185,DB 13971,Lamiales,Lamiaceae,Prunella grandiflora,,
2017-130,R. Mause,B GT 0021739,DB 15196,Lamiales,Lamiaceae,Prunella grandiflora,,
PC 179,"Ciongwa,P.",B GT 0017447,DB 13184,Lamiales,Lamiaceae,Prunella laciniata,,
7666,R. Hand,B GT 0014897,DB 15445,Lamiales,Lamiaceae,Prunella vulgaris,,
AMB-GBOL2-75,"Barniske,A.-M.",B GT 0017687,DB 13360,Lamiales,Lamiaceae,Prunella vulgaris,,
36617,K. P. Buttler,B GT 0017795,DB 29435,Lamiales,Lamiaceae,Prunella vulgaris,,
2525,"Appel,O.",B GT 0018040,DB 13486,Lamiales,Lamiaceae,Prunella vulgaris,,
7851,R. Hand,B GT 0014795,DB 29247,Lamiales,Lamiaceae,Salvia glutinosa,,
8812,"Hand,R.",B GT 0021144,DB 13873,Lamiales,Lamiaceae,Salvia glutinosa,,
8036,"Hand,R.",B GT 0017816,DB 13090,Lamiales,Lamiaceae,Salvia nemorosa,,
8892,"Hand,R.",B GT 0021224,DB 13925,Lamiales,Lamiaceae,Salvia nemorosa,,
PC 162,"Ciongwa,P.",B GT 0017514,DB 13174,Lamiales,Lamiaceae,Salvia pratensis,,
8294,"Hand,R.",B GT 0021292,DB 13580,Lamiales,Lamiaceae,Salvia pratensis,,
8511,"Hand,R.",B GT 0018835,DB 13702,Lamiales,Lamiaceae,Salvia verticillata,,
8028,"Hand,R.",B GT 0017808,DB 11295,Lamiales,Lamiaceae,Scutellaria altissima,,
NM 2017/19,N. Meyer,B GT 0021608,DB 29542,Lamiales,Lamiaceae,Scutellaria altissima,,
RH 7750,"Hand,R. & Niederbichler,C.",B GT 0014980,DB 11293,Lamiales,Lamiaceae,Scutellaria galericulata,,
8025,"Hand,R.",B GT 0017940,DB 11294,Lamiales,Lamiaceae,Scutellaria galericulata,Gewebe fehlt; Tüte Aufsammlung nicht vorhanden,
35876,"Buttler,K.P.",B GT 0018119,DB 14019,Lamiales,Lamiaceae,Scutellaria galericulata,,
8841,"Hand,R.",B GT 0021173,DB 13894,Lamiales,Lamiaceae,Scutellaria galericulata,,
KPB 31510,"Buttler,K.P., Gregor,T. & Hand,R.",B GT 0018181,DB 13940,Lamiales,Lamiaceae,Scutellaria hastifolia,,
36738,K. P. Buttler,B GT 0018491,DB 29466,Lamiales,Lamiaceae,Scutellaria minor,,
36732,K. P. Buttler,B GT 0018492,DB 29464,Lamiales,Lamiaceae,Scutellaria minor,,
8633,"Hand,R.",B GT 0018957,DB 13777,Lamiales,Lamiaceae,Stachys alpina,,
PC 248,"Ciongwa,P.",B GT 0021377,DB 14389,Lamiales,Lamiaceae,Stachys alpina,,
NHG-20170928-93,"Höcker,R.",B GT 0021546,DB 14507,Lamiales,Lamiaceae,Stachys annua,,
NM2017/4,N. Meyer,B GT 0021624,DB 29527,Lamiales,Lamiaceae,Stachys annua,,
2017-116,R. Mause,B GT 0021721,DB 30887,Lamiales,Lamiaceae,Stachys annua,,
FJW-2013-0077,"Weicherding,F.-J.",B GT 0018345,DB 14327,Lamiales,Lamiaceae,Stachys arvensis,,
2474,"Appel,O.",B GT 0018016,DB 13464,Lamiales,Lamiaceae,Stachys palustris,,
35807,"Buttler,K.P.",B GT 0018177,DB 13990,Lamiales,Lamiaceae,Stachys palustris,,
KPB 35658,"Buttler,K.P. & Diguet,A.",B GT 0018171,DB 13950,Lamiales,Lamiaceae,Stachys recta,,
8311,"Hand,R.",B GT 0021309,DB 13589,Lamiales,Lamiaceae,Stachys recta,,
AMB-GBOL2-78,"Barniske,A.-M.",B GT 0017684,DB 13363,Lamiales,Lamiaceae,Stachys sylvatica,,
2466,"Appel,O.",B GT 0018035,DB 13458,Lamiales,Lamiaceae,Stachys sylvatica,,
35903,"Buttler,K.P.",B GT 0018125,DB 14026,Lamiales,Lamiaceae,Stachys sylvatica,,
PC 187,"Ciongwa,P.",B GT 0017450,DB 13189,Lamiales,Lamiaceae,Teucrium botrys,,
KPB 36653,"Buttler,K.P. & Börger,U.",B GT 0018628,DB 14174,Lamiales,Lamiaceae,Teucrium botrys,,
36697,K. P. Buttler 36697 & M. Lorek,B GT 0018514,DB 29448,Lamiales,Lamiaceae,Teucrium chamaedrys,,
7844,R. Hand,B GT 0014805,DB 29240,Lamiales,Lamiaceae,Teucrium montanum,,
2539,"Appel,O.",B GT 0018107,DB 13488,Lamiales,Lamiaceae,Teucrium scorodonia,,
8821,"Hand,R.",B GT 0021153,DB 13881,Lamiales,Lamiaceae,Teucrium scorodonia,,
36911,K. P. Buttler,B GT 0024929,DB 14745,Lamiales,Lamiaceae,Teucrium scorodonia,,
36645,K. P. Buttler 36645 & U. Börger,B GT 0018635,DB 14680,Lamiales,Lamiaceae,Thymus praecox,,
WEM072,W. Melenk (GBOL-Bioblitz 2017),B GT 0021925,DB 15681,Lamiales,Lamiaceae,Thymus praecox,,
FJW-2016-0073,"Weicherding,F.-J.",B GT 0017634,DB 13261,Lamiales,Lamiaceae,Thymus pulegioides,,
KPB 36658,"Buttler,K.P. & Diguet,A.",B GT 0018638,DB 14177,Lamiales,Lamiaceae,Thymus pulegioides,,
RH 8764,"Hand,R., Adler,B. & Adler,J.",B GT 0021096,DB 13844,Lamiales,Lamiaceae,Thymus pulegioides,,
20180906,G. Schepers,B GT 0024719,DB 15768,Lamiales,Lentibulariaceae,Pinguicula vulgaris,,
FJW-2016-0067,"Weicherding,F.-J.",B GT 0017692,DB 13255,Lamiales,Lentibulariaceae,Utricularia australis,,
8717,R. Hand 8717 & M. Berghofer,B GT 0021049,DB 29356,Lamiales,Lentibulariaceae,Utricularia minor,,
9173,R. Hand,B GT 0024770,DB 15143,Lamiales,Linderniaceae,Lindernia dubia,,
AMB-GBOL2-56,"Barniske,A.-M.",B GT 0017649,DB 13341,Lamiales,Oleaceae,Fraxinus excelsior,,
8972,R. Hand,B GT 0024843,DB 15112,Lamiales,Oleaceae,Fraxinus pennsylvanica,,
FJW-2016-0052,"Weicherding,F.-J.",B GT 0017245,DB 13241,Lamiales,Oleaceae,Ligustrum vulgare,,
PC 176,"Ciongwa,P.",B GT 0017444,DB 13181,Lamiales,Oleaceae,Ligustrum vulgare,,
AMB-GBOL2-85,"Barniske,A.-M.",B GT 0017953,DB 13370,Lamiales,Oleaceae,Ligustrum vulgare,,
8389,"Hand,R.",B GT 0018712,DB 13631,Lamiales,Oleaceae,Ligustrum vulgare,,
8450,"Hand,R.",B GT 0018774,DB 13665,Lamiales,Oleaceae,Ligustrum vulgare,,
8832,"Hand,R.",B GT 0021164,DB 13887,Lamiales,Oleaceae,Ligustrum vulgare,,
8627,"Hand,R.",B GT 0018951,DB 13772,Lamiales,Orobanchaceae,Bartsia alpina,,
20180904,G. Schepers,B GT 0024612,DB 15333,Lamiales,Orobanchaceae,Bartsia alpina,,
KPB 35798,"Buttler,K.P. & Diguet,A.",B GT 0018141,DB 13985,Lamiales,Orobanchaceae,Euphrasia frigida,,
36707,K. P. Buttler,B GT 0018432,DB 29450,Lamiales,Orobanchaceae,Euphrasia frigida,,
RH 7905,"Hand,R. & Niederbichler,C.",B GT 0014728,DB 12969,Lamiales,Orobanchaceae,Euphrasia minima,,
PC 190,P. Ciongwa,B GT 0017433,DB 14804,Lamiales,Orobanchaceae,Euphrasia nemorosa,,
2585,"Appel,O.",B GT 0018094,DB 13499,Lamiales,Orobanchaceae,Euphrasia officinalis,,
35814,"Buttler,K.P.",B GT 0018113,DB 13996,Lamiales,Orobanchaceae,Euphrasia officinalis,,
7842,R. Hand,B GT 0014807,DB 29238,Lamiales,Orobanchaceae,Euphrasia salisburgensis,,
36719,K. P. Buttler,B GT 0018466,DB 29456,Lamiales,Orobanchaceae,Euphrasia stricta,,
8803,R. Hand,B GT 0021135,DB 29391,Lamiales,Orobanchaceae,Euphrasia stricta,,
8861,R. Hand,B GT 0021193,DB 29403,Lamiales,Orobanchaceae,Euphrasia stricta,,
8873,"R. Hand 8873, M. Dotzer-Schmidt & H. Seitz",B GT 0021205,DB 29407,Lamiales,Orobanchaceae,Euphrasia stricta,,
2017-121,R. Mause,B GT 0021716,DB 30892,Lamiales,Orobanchaceae,Euphrasia stricta,,
7086,E. von Raab-Straube,B GT 0024667,DB 35165,Lamiales,Orobanchaceae,Lathraea  squamaria,,
PC 212,"Ciongwa,P.",B GT 0021412,DB 14357,Lamiales,Orobanchaceae,Lathraea squamaria,,
2606,O. Appel,B GT 0021978,DB 30961,Lamiales,Orobanchaceae,Lathraea squamaria,,
8432,"Hand,R.",B GT 0018756,DB 13658,Lamiales,Orobanchaceae,Melampyrum  cristatum,,
KPB 35657,"Buttler,K.P. & Diguet,A.",B GT 0018154,DB 13949,Lamiales,Orobanchaceae,Melampyrum arvense,,
8388,"Hand,R.",B GT 0018711,DB 13630,Lamiales,Orobanchaceae,Melampyrum cristatum,,
NM2017/11,N. Meyer,B GT 0021601,DB 29534,Lamiales,Orobanchaceae,Melampyrum cristatum,,
20170531-50,"Höcker,R.",G BT 0021463,DB 14294,Lamiales,Orobanchaceae,Melampyrum cristatum,,
PC 182,"Ciongwa,P.",B GT 0017464,DB 13186,Lamiales,Orobanchaceae,Melampyrum nemorosum,,
8366,"Hand,R.",B GT 0018689,DB 13620,Lamiales,Orobanchaceae,Melampyrum nemorosum,,
NHG-20170820-79,"Höcker,R.",B GT 0021532,DB 14499,Lamiales,Orobanchaceae,Melampyrum nemorosum,,
7708,R. Hand,B GT 0014939,DB 15447,Lamiales,Orobanchaceae,Melampyrum pratense,,
MS-SH-14,"Schön,M.",B GT 0017279,DB 13285,Lamiales,Orobanchaceae,Melampyrum pratense,,
NHG 20160828-03,"Höcker,R.",B GT 0017383,DB 13290,Lamiales,Orobanchaceae,Melampyrum pratense,,
2578,O. Appel,B GT 0018068,DB 14634,Lamiales,Orobanchaceae,Melampyrum pratense,,
2014-10,"Mause,R.",B GT 0018259,DB 14247,Lamiales,Orobanchaceae,Melampyrum pratense,,
2017-104,R. Mause,B GT 0021704,DB 30876,Lamiales,Orobanchaceae,Melampyrum pratense,,
2017-88,R. Mause,B GT 0021752,DB 30863,Lamiales,Orobanchaceae,Melampyrum pratense,,
RH 8781,"Hand,R. & Höcker,R.",B GT 0021113,DB 13856,Lamiales,Orobanchaceae,Melampyrum sylvaticum,,
NM2017/8,N. Meyer,B GT 0021613,DB 29531,Lamiales,Orobanchaceae,Odontites luteus,,
PC 272,P. Ciongwa,B GT 0021353,DB 29512,Lamiales,Orobanchaceae,Odontites vernus,,
NHG 20160828-05,"Höcker,R.",B GT 0017377,DB 13292,Lamiales,Orobanchaceae,Odontites vulgaris,,
FJW-2017-0027,F.-J. Weicherding,B GT 0021669,DB 30769,Lamiales,Orobanchaceae,Odontites vulgaris,,
2017-135,R. Mause,B GT 0021734,DB 15198,Lamiales,Orobanchaceae,Odontites vulgaris,,
8463,R. Hand,B GT 0018787,DB 14837,Lamiales,Orobanchaceae,Orobanche alsatica,,
,R. Hand & GEFD-Exkursion,B GT 0024663,DB 15079,Lamiales,Orobanchaceae,Orobanche alsatica,,
,R. Hand & GEFD-Exkursion,B GT 0024662,DB 15080,Lamiales,Orobanchaceae,Orobanche amethystea,,
20180923,G. Schepers,B GT 0024718,DB 15351,Lamiales,Orobanchaceae,Orobanche amethystea,,
20180921,G. Schepers,B GT 0024539,DB 15349,Lamiales,Orobanchaceae,Orobanche arenaria,,
8946,R. Hand,B GT 0024810,DB 14947,Lamiales,Orobanchaceae,Orobanche caryophyllacea,,
2018-9,R. Mause,B GT 0024292,DB 15788,Lamiales,Orobanchaceae,Orobanche elatior,,
9069,R. Hand,B GT 0024865,DB 15118,Lamiales,Orobanchaceae,Orobanche flava,,
20180938,G. Schepers,B GT 0024714,DB 15361,Lamiales,Orobanchaceae,Orobanche gracilis,,
20180909,G. Schepers,B GT 0024715,DB 15337,Lamiales,Orobanchaceae,Orobanche hederae,,
8451,R. Hand,B GT 0018775,DB 15234,Lamiales,Orobanchaceae,Orobanche lutea,,
8962,R. Hand,B GT 0024833,DB 15109,Lamiales,Orobanchaceae,Orobanche lutea,,
8452,R. Hand 8452 & F. G. Dunkel,B GT 0018776,DB 29311,Lamiales,Orobanchaceae,Orobanche purpurea,,
,H. Uhlich,B GT 0024124,DB 15810,Lamiales,Orobanchaceae,Orobanche rapum-genistae,,
RH 8489,"Hand,R. & Rätzel,S.",B GT 0018813,DB 13688,Lamiales,Orobanchaceae,Orobanche reticulata,,
PC 266,P. Ciongwa,B GT 0021359,DB 29510,Lamiales,Orobanchaceae,Orobanche reticulata,,
2018-7,R. Mause,B GT 0024294,DB 15786,Lamiales,Orobanchaceae,Orobanche teucrii,,
9130,R. Hand,B GT 0024893,DB 15069,Lamiales,Orobanchaceae,Pecicularis recutita,,
CN_20170814_1,C. Niederbichler,B GT 0021890,DB 30954,Lamiales,Orobanchaceae,Pedicularis foliosa,,
RH 7824,"Hand,R. & Niederbichler,C.",B GT 0014825,DB 12904,Lamiales,Orobanchaceae,Pedicularis palustris,,
9116,R. Hand,B GT 0024991,DB 15089,Lamiales,Orobanchaceae,Pedicularis recutita,,
25MB,M. Berghofer,B GT 0024251,DB 15653,Lamiales,Orobanchaceae,Pedicularis sceptrum-carolinum,,
2016-15,"Mause,R.",B GT 0017405,DB 13514,Lamiales,Orobanchaceae,Pedicularis sylvatica,,
2017-69,R. Mause,B GT 0021781,DB 30848,Lamiales,Orobanchaceae,Pedicularis sylvatica,,
36843,K. P. Buttler,B GT 0024998,DB 14796,Lamiales,Orobanchaceae,Pedicularis sylvatica,,
8637,R. Hand,B GT 0018961,DB 29341,Lamiales,Orobanchaceae,Pedicularis verticillata,,
FJW-2016-0042,"Weicherding,F.-J.",B GT 0017244,DB 13232,Lamiales,Orobanchaceae,Rhinanthus alectorolophus,,
36449,K. P. Buttler,B GT 0018368,DB 29418,Lamiales,Orobanchaceae,Rhinanthus alectorolophus,,
2016-40,"Mause,R.",B GT 0017475,DB 13538,Lamiales,Orobanchaceae,Rhinanthus minor,,
36564,"Buttler,K.P.",B GT 0017722,DB 14141,Lamiales,Orobanchaceae,Rhinanthus minor,,
2013-32,"Mause,R.",B GT 0018270,DB 14232,Lamiales,Orobanchaceae,Rhinanthus minor,,
2013-44,"Mause,R.",B GT 0018272,DB 14233,Lamiales,Orobanchaceae,Rhinanthus minor,,
PC 306,"Ciongwa,P.",B GT 0021450,DB 14426,Lamiales,Phrymaceae,Mimulus guttatus,,
8540,"Hand,R.",B GT 0018864,DB 13722,Lamiales,Plantaginaceae,Anarrhinum  bellidifolium,,
8589,"Hand,R.",B GT 0018913,DB 13752,Lamiales,Plantaginaceae,Antirrhinum majus,,
8735,"Hand,R.",B GT 0021067,DB 13832,Lamiales,Plantaginaceae,Antirrhinum majus,,
AMB-GBOL2-129,A.-M. Barniske,B GT 0021876,DB 30943,Lamiales,Plantaginaceae,Antirrhinum majus,,
8474,R. Hand,B GT 0018798,DB 14839,Lamiales,Plantaginaceae,Callitriche hamulata,,
8883,"R. Hand 8883, M. Dotzer-Schmidt & H. Seitz",B GT 0021215,DB 15494,Lamiales,Plantaginaceae,Callitriche hamulata,,
,E. Zippel,B GT 0024510,DB 15224,Lamiales,Plantaginaceae,Callitriche hamulata,,
7225,R. Hand 7225 & GEFD-Exkursion,B GT 0005593,DB 14571,Lamiales,Plantaginaceae,Callitriche palustris,,
8556,R. Hand,B GT 0018880,DB 15472,Lamiales,Plantaginaceae,Callitriche palustris,,
8848,R. Hand,B GT 0021180,DB 15488,Lamiales,Plantaginaceae,Callitriche palustris,,
2018-12,R. Mause,B GT 0024289,DB 15791,Lamiales,Plantaginaceae,Callitriche palustris,,
2018-13,R. Mause,B GT 0024288,DB 15792,Lamiales,Plantaginaceae,Callitriche platycarpa,,
36705,K. P. Buttler,B GT 0018434,DB 14926,Lamiales,Plantaginaceae,Callitriche stagnalis,,
8520,"Hand,R.",B GT 0018844,DB 13708,Lamiales,Plantaginaceae,Chaenorhinum minus,,
8730,"Hand,R.",B GT 0021062,DB 13828,Lamiales,Plantaginaceae,Chaenorhinum minus,,
PC 235,"Ciongwa,P.",B GT 0021390,DB 14376,Lamiales,Plantaginaceae,Chaenorhinum minus,,
PC 147,"Ciongwa,P.",B GT 0017526,DB 13163,Lamiales,Plantaginaceae,Cymbalaria muralis,,
AMB-GBOL2-65,"Barniske,A.-M.",B GT 0017672,DB 13350,Lamiales,Plantaginaceae,Cymbalaria muralis,,
