Collector's No,Collector(s),Tissue ID,DNA Sample ID,Order,Family,Genus
8559,"Hand,R.",B GT 0018883,DB 13734,Ericales,Ericaceae,Erica tetralix
22MB,"Berghofer,M.",B GT 0021346,DB 14309,Ericales,Ericaceae,Erica tetralix
2017-97,R. Mause,B GT 0021711,DB 30871,Ericales,Ericaceae,Erica tetralix
2017-109,R. Mause,B GT 0021727,DB 30881,Ericales,Ericaceae,Erica tetralix
2659,O. Appel,B GT 0021898,DB 30977,Probe nicht gefunden,,
RH 7778,"Hand,R., Berghofer,M. & Niederbichler,C.",B GT 0014752,DB 12860,Ericales,Ericaceae,Hypopitys hypophegea
PC 90,P. Ciongwa,B GT 0017387,DB 14575,Ericales,Ericaceae,Hypopitys hypophegea
8681,"Hand,R.",B GT 0021013,DB 13803,Ericales,Ericaceae,Kalmia procumbens
RH 7964,"Hand,R., Berghofer,M. & Niederbichler,C.",B GT 0014677,DB 13023,Ericales,Ericaceae,Moneses uniflora
8707,"Hand,R.",B GT 0021039,DB 13818,Ericales,Ericaceae,Orthilia secunda
8863,"Hand,R.",B GT 0021195,DB 13907,Ericales,Ericaceae,Orthilia secunda
RH 8872,"Hand,R., Dotzer-Schmidt,M. & Seitz,H.",B GT 0021204,DB 13913,Ericales,Ericaceae,Orthilia secunda
NM2018/12,N. Meyer,B GT 0024636,DB 15270,Ericales,Ericaceae,Pyrola media
NM2018/3,N. Meyer,B GT 0024643,DB 15261,Ericales,Ericaceae,Pyrola media
9052,R. Hand,B GT 0024967,DB 15209,Ericales,Ericaceae,Pyrola media
PC 188,P. Ciongwa,B GT 0017431,DB 14732,Ericales,Ericaceae,Pyrola minor
KPB 35746,"Buttler,K.P. Brand, H.",B GT 0018153,DB 13975,Ericales,Ericaceae,Pyrola minor
7848,R. Hand,B GT 0014798,DB 29244,Ericales,Ericaceae,Pyrola rotundifolia
8682,"Hand,R.",B GT 0021014,DB 13804,Ericales,Ericaceae,Pyrola rotundifolia
8708,R. Hand,B GT 0021040,DB 29353,Ericales,Ericaceae,Pyrola rotundifolia
DS-2018-006,D. Schabelreiter,B GT 0024406,DB 15533,Ericales,Ericaceae,Pyrola rotundifolia
20180907,G. Schepers,B GT 0024613,DB 15335,Ericales,Ericaceae,Pyrola rotundifolia
RH 7971,"Hand,R., Berghofer,M. & Niederbichler,C.",B GT 0014508,DB 13030,Ericales,Ericaceae,Rhododendron ferrugineum
RH 7916,"Hand,R. & Niederbichler,C.",B GT 0014751,DB 12980,Ericales,Ericaceae,Rhododendron hirsutum
8605,"Hand,R.",B GT 0018929,DB 13764,Ericales,Ericaceae,Rhodothamnus chamaecistus
RH 7914,"Hand,R. & Niederbichler,C.",B GT 0014724,DB 12978,Ericales,Ericaceae,Vaccinium gaultherioides
,C. Niederbichler,B GT 0024680,DB 15157,Ericales,Ericaceae,Vaccinium macrocarpon
2386,"Appel,O.",B GT 0017708,DB 13410,Ericales,Ericaceae,Vaccinium myrtillus
8706,"Hand,R.",B GT 0021038,DB 13817,Ericales,Ericaceae,Vaccinium myrtillus
2017-110,R. Mause,B GT 0021726,DB 30882,Ericales,Ericaceae,Vaccinium oxycoccos
CN_20170731_5,C. Niederbichler,B GT 0021891,DB 30953,Ericales,Ericaceae,Vaccinium oxycoccos
2017-108,R. Mause,B GT 0021728,DB 30880,Ericales,Ericaceae,Vaccinium uliginosum
7998,"Hand,R.",B GT 0014658,DB 13056,Ericales,Ericaceae,Vaccinium vitis-idaea
7936,"Hand,R.",B GT 0014702,DB 12997,Ericales,Ericaceae,Vaccinium vitis-idaea
2643,O. Appel,B GT 0021810,DB 30968,Probe nicht gefunden,,
GBOL-024,G. Himpel,B GT 0024467,DB 15573,Ericales,Polemoniaceae,Collomia grandiflora
36573,K. P. Buttler,B GT 0017736,DB 29430,Ericales,Polemoniaceae,Polemonium caeruleum
FJW-2016-0091,F.-J. Weicherding,B GT 0021633,DB 30741,Ericales,Primulaceae,Anagallis arvensis
8409,R. Hand,B GT 0018733,DB 29296,Ericales,Primulaceae,Anagallis foemina
NHG-20170928-94,"Höcker,R.",B GT 0021547,DB 14508,Ericales,Primulaceae,Anagallis foemina
NM2017/18,N. Meyer,B GT 0021612,DB 29541,Ericales,Primulaceae,Anagallis foemina
20MB,"Berghofer,M.",B GT 0021344,DB 14306,Ericales,Primulaceae,Anagallis minima
2017-134,R. Mause,B GT 0021735,DB 15197,Ericales,Primulaceae,Anagallis minima
RH 7903,"Hand,R. & Niederbichler,C.",B GT 0014730,DB 12967,Ericales,Primulaceae,Androsace chamaejasme
8613,R. Hand,B GT 0018937,DB 14851,Ericales,Primulaceae,Androsace chamaejasme
8645,R. Hand,B GT 0018968,DB 14864,Ericales,Primulaceae,Androsace chamaejasme
GBOL-002,G. Himpel,B GT 0024383,DB 15635,Ericales,Primulaceae,Androsace elongata
GBOL-003,G. Himpel,B GT 0024384,DB 15636,Ericales,Primulaceae,Androsace elongata
GBOL2,L. Meierott,B GT 0024491,DB 15778,Ericales,Primulaceae,Androsace septentrionalis
8631,"Hand,R.",B GT 0018955,DB 13775,Ericales,Primulaceae,Cyclamen purpurascens
PC 171,"Ciongwa,P.",B GT 0017451,DB 14552,Ericales,Primulaceae,Glaux maritima
36502,"Buttler,K.P.",B GT 0018567,DB 14119,Ericales,Primulaceae,Glaux maritima
36736,"Buttler,K.P.",B GT 0018494,DB 14202,Ericales,Primulaceae,Hottonia palustris
8825,"Hand,R.",B GT 0021157,DB 13883,Ericales,Primulaceae,Lysimachia nemorum
20170625-59,"Höcker,R.",G BT 0021472,DB 14300,Ericales,Primulaceae,Lysimachia nemorum
2523,"Appel,O.",B GT 0018046,DB 13484,Ericales,Primulaceae,Lysimachia nummularia
36712,K. P. Buttler,B GT 0018478,DB 29453,Ericales,Primulaceae,Lysimachia nummularia
FJW-2016-0063,"Weicherding,F.-J.",B GT 0017696,DB 13251,Ericales,Primulaceae,Lysimachia punctata
8019,"Hand,R.",B GT 0017934,DB 13076,Ericales,Primulaceae,Lysimachia vulgaris
2575,"Appel,O.",B GT 0018019,DB 13495,Ericales,Primulaceae,Lysimachia vulgaris
20180949,G. Schepers,B GT 0024609,DB 15371,Ericales,Primulaceae,Lysimachia vulgaris
7856,"Hand,R.",B GT 0014790,DB 12922,Ericales,Primulaceae,Primula auricula
FJW-2016-0012,"Weicherding,F.-J.",B GT 0017904,DB 13202,Ericales,Primulaceae,Primula elatior
2360,"Appel,O.",B GT 0018006,DB 13394,Ericales,Primulaceae,Primula elatior
36192,"Buttler,K.P.",B GT 0018392,DB 14052,Ericales,Primulaceae,Primula elatior
2017-5,R. Mause,B GT 0021826,DB 30807,Ericales,Primulaceae,Primula elatior
RH 7781,"Hand,R., Berghofer,M. & Niederbichler,C.",B GT 0014700,DB 12863,Ericales,Primulaceae,Primula farinosa
7846,R. Hand,B GT 0014800,DB 29242,Ericales,Primulaceae,Primula farinosa
8122,R. Hand,B GT 0021242,DB 29252,Ericales,Primulaceae,Primula veris
8302,R. Hand,B GT 0021300,DB 15467,Ericales,Primulaceae,Primula veris
2017-18,R. Mause,B GT 0021839,DB 30815,Ericales,Primulaceae,Primula veris
36845,K. P. Buttler,B GT 0024910,DB 14797,Ericales,Primulaceae,Primula veris
1MB,"Berghofer,M.",B GT 0021325,DB 14228,Ericales,Primulaceae,Primula vulgaris
,U. Raabe,B GT 0018994,DB 15643,Ericales,Primulaceae,Samolus valerandi
36504,K. P. Buttler,B GT 0021596,DB 29424,Ericales,Primulaceae,Samolus valerandi
20180947,G. Schepers,B GT 0024546,DB 15369,Ericales,Primulaceae,Samolus valerandi
RH 7918,"Hand,R. & Niederbichler,C.",B GT 0014718,DB 12982,Ericales,Primulaceae,Soldanella alpina
8615,"Hand,R.",B GT 0018939,DB 13767,Ericales,Primulaceae,Soldanella alpina
AM5,A. Mayer,B GT 0024518,DB 15393,Ericales,Primulaceae,Soldanella montana
9117,R. Hand,B GT 0024996,DB 15065,Ericales,Primulaceae,Soldanella pusilla
PC 238,"Ciongwa,P.",B GT 0021387,DB 14379,Ericales,Primulaceae,Trientalis europaea
